id;adr
1003703092;" м.Ів-Франк,вул.Деповська,97 гот-рест.""Станісл.двір"
1003824807; м.Новояворівськ С Бандери 38
1004004027; с.Лиман, пл.Леніна, магазин
1009315412;"Звпоріжжя ул.Гудыменко,5 м-н ""Пятачок"""
1009317516;"Звпоріжжя ул.Грязнова,45 шатер ""Чернигов"""
1010602783; с.Есмань, вул.Миру, буд.4/2
1011103625; с.Вишневе, Першотравнева, будинок № 2
100020000015515;" с. Счастливое, пер. Надежды, 1 _ ""КОЛО 1,5"""
100020000015560;" м.Київ, Дарницький р-н, вул.Декабристів, 2А(літ.""Б"")"
100020000015828; с.Мартусівка, вул.Бориспільська, буд.6
100030000052221;" М. КИЇВ, ВУЛ. ГАРМАТНА, БУД. 26/2 КОНЦЕРТНА ПЛОЩАДКА ""VOLUME CLUB"""
100030000052372;" М. КИЇВ, ВУЛ.САКСАГАНСЬКОГО, 57-А, КАФЕ ""МУСАФІР"""
100030000054622;" м. Київ,  вул. Глушкова, 1 В, ДНХ , ""Mr. Grill"" павпроти Тераси М'яса"
100030000054734;" вул. Практична, буд. 8, приміщення 72, бар-магазин ""COOL BEER"""
100030000054902;" вул. Кирилівська, 69 Д ""KELLER BAR"""
100030000054904;" вул. Метрологічна, буд. 15 -А, приміщення118, кафе ""FOODIE CAFE"""
100030000054941;" м. Київ, вул.Московська, 8 ""БУФФАЛІНО"""
100030000054994; вул. М.Максимовича, буд. 26-Б, приміщення №449, бар PETS BAR
100030000055067;" вул. Брюлова 1А магазин ""Пивний кухоль"""
100030000055086;" ВУЛ. ВЕРХНІЙ ВАЛ, БУД. 16, ТОРГІВЕЛЬНЕ МІСЦЕ НА ФАСАДІ ПЕРШОГО ПОВЕРХУ РИНКУ ""ЖИТНІЙ РИНОК"", КАФЕ"
100030000058723;" СОФІЇВСЬКА БОРЩАГІВКА, ВУЛ. СОБОРНА 120, НАЛИВКА-БАР ""МАСТЕР БУРГЕР"""
100030000058752;" м.Київ, вул. Михайла Гришка 3-А ( Ресторан "" PESTO CAFE"")"
100030000058759; м.Київ, вул.СПАСЬКА. буд.1/2
100030000058760; м.Київ, вул.Митрополита Андрія Шептицького, буд.4-А
100030000058761; М.КИЇВ, ВУЛ.БІЛОРУСЬКА, 2-А
100030000058762; м. Київ, вул. Федорова, 9
100030000058763;Київ ВУЛ. В. ВАСИЛЬКІВСЬКА, 35 А,РЕСТОРАН
100050000005781;"Київ вул. Кирилівська 69 бар ""Келлер"""
100050000006574;"Київ Крюківщина вул. Зоряна 20 ""Вейк парк"" (за Матвієнко)"
100050000006606;" Боярка Соборності 47-А  бар ""Сова"""
100050000006655;" Крюківщина вул. Балукова 1 ""Dominos"" (ТЦ Наше Небо)"
100050000006937;" вул. Корольова 10 ""Beer Coin"""
100050000007305;" Соф.Борщ. вул. Шевченка 9 кафе ""Алло Гараж"""
100050000007443;" Велика Кільцева 4-Г кафе ""Дубки ГК"""
100050000007452;" Буча вул. Енергетиків 2 бар-магазин ""Бірлога"""
100050000007466; с.Леонівка, вул.Миру, буд.126а
100050000007476; м.Фастів, вул.Транспортна, буд.2
100170000012653;" с.Станівці, вул.Головна 74, магазин ""СОТНЯ"""
100170000012655;" смт.Берегомет, вул.Центральна 36 Б, магазин ""СОТНЯ"""
100170000012667;"  с.Тереблече, вул.Головна 50, магазин ""СОТНЯ"""
100180000011671;" м. Хмельницький, вул. Кам""янецька, 17 ТРЦ Квартал вхід з вул. Кам""янецької"
100180000011710;" Хмельницький район, с. Грузевиця, вул. Центральна 63-А м-н ""Поділля продукт 2"""
100240000000383; с.Новоселівка, вул.Шевченка, 57
100240000000445; Усатівська с/р. км.462+82м
100240000003771; Черкаська обл. Чс.Богодухівка вул.Гоголя, 35
100250000004057; с.Сокиринці, вул.1 Травня, буд.93, Одарочка
100250000004058; м.Липовець, вул.Пирогова, буд.37
100250000004059; м.Вінниця, вул.Покришкіна, буд.8-Г, корп.4, прим.115
100260000003680; м.Житомир, вул.майдан Згоди, буд.2/98
100260000003723; с.Українка
100280000002760; с.Сад село,ул.Войти,3
100280000004230; с.Кекине,ул.Садова,16в
100290000001922; с.Пенківка
100290000001923; с.Пенківка
100290000001924; с.Пенківка
100290000001925;" смт. Тиврів, вул. Тиверська, 51, магазин ""Продукти"""
100300000000315;" ул.Рубана, 5, м-н ""Три пескаря""/кеги"
100300000000932;" вул.Вокзальна, 1, ""Шашлична №1"", м.Дн_про"
100300000001189;" ул.Горького, 25, ""Пивовица"""
100300000001193;" ул.Уральская,1, бар ""Привет сосед"""
100300000001236;" вул.Пархоменко, 22б, кафе ""Визави"""
100340000004140; м.Луцьк, пр.Відродження, буд.1
100370000003155;" м.Івано-Франківськ, вул.Січових стрільців, 24А, бар ""MIST ROOM"""
100370000004139;" м.Яремче, с.Поляниця, участок Вишні, 13Д, Ресторан ""ФОМИЧ"""
100370000004144;" Тлумацький р-н, с.Яківка, вул.Центральна,26, магазин-кафе""Асорті"""
100370000004163;" Івано-Франківська обл.,Богородчанський р-н,смт.Богородчани.вул.Шевченка,5/Б,кафе""Pizza V I S"""
100370000004185;" м.Івано-Франківськ, вул. Бельведерська 27Б, Магазин ""OK Wine"""
100370000004203;" Рожнятівський р-н, с.Нижній Струтинь, вул.Грушевського, 120а, магазин ""Спар""( Наш Край)"
100370000004207;" м.Івано-Франківськ, вул.Декабристів, 45 магазин ""Єврик"""
100370000004209;" Івано-Франківська обл., Надвірнянський р-н., с.Зелена, вул. Центр,1 Магазин-Кафе ""Фаворит"""
100370000004213;" Івано-Франківська обл., Надвірнянський р-н., с.Поляниця, участок Вишні, 570, Ресторан ""Rest&Ski"""
100370000004216;" Коломийський р-н, с.Воскресінці, вул.Січових Стрільців, 2/Г, магазин ""Стефайно"""
